Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Other,2019-10-24 09:48:33,false,Table Tennis,0,648,01:52:47,136,163,2.5,8,202,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:52:47,0:00,26,0:00,No,00:00.00,1,0
Other,2019-10-20 20:09:54,false,Table Tennis,0,710,01:51:55,141,170,2.7,8,245,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:51:55,0:00,25,0:00,No,00:00.00,1,0
Running,2019-10-19 22:16:03,false,West Coast,10.01,549,01:08:44,168,186,3.7,154,196,6:52,3:47,21,21,0.93,10.1,9.6,300,50.4% L / 49.6% R,--,--,0,0,0,1:08:44,0:00,29,0:00,No,00:02.20,11,0
Running,2019-10-16 23:19:36,false,West Coast,7.01,369,00:45:30,163,196,3.7,154,177,6:29,3:47,19,13,0.97,10.2,10,301,50.0% L / 50.0% R,--,--,0,0,0,45:30,0:00,29,0:00,No,00:01.88,8,0
Other,2019-10-13 19:35:24,false,Table Tennis,0,708,02:23:21,128,170,2.7,15,159,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:23:21,0:00,25,0:00,No,00:00.00,1,0
Running,2019-10-12 22:39:54,false,West Coast,7.01,367,00:48:37,160,175,3.1,151,156,6:56,5:38,14,14,0.93,10.4,9.8,307,50.1% L / 49.9% R,--,--,0,0,0,48:37,0:00,29,0:00,No,00:03.64,8,0
Running,2019-10-11 00:56:36,false,West Coast,8.01,410,00:52:47,158,179,3.5,154,175,6:35,5:05,23,19,0.95,10.2,9.8,297,49.5% L / 50.5% R,--,--,0,0,0,52:47,0:00,27,0:00,No,00:02.74,9,0
Running,2019-10-09 01:16:37,false,West Coast,7.01,372,00:45:50,162,189,3.7,153,177,6:32,4:41,22,13,0.96,10.2,9.9,296,49.9% L / 50.1% R,--,--,0,0,0,45:50,0:00,28,0:00,No,00:02.14,8,0
Other,2019-10-06 20:03:07,false,Table Tennis,0,599,01:56:17,132,166,2.5,7,245,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:56:17,0:00,25,0:00,No,00:00.00,1,0
Running,2019-10-06 00:38:46,false,West Coast,4.51,234,00:24:31,176,194,3.8,160,167,5:26,4:29,13,9,1.08,8.8,9.7,277,49.8% L / 50.2% R,--,--,0,0,0,24:31,0:00,27,0:00,No,02:43.46,5,0
Other,2019-10-02 17:18:55,false,Table Tennis,0,245,00:47:54,121,154,2,16,226,--,--,--,--,0,0,0,--,--,--,--,0,0,0,47:54,0:00,24,0:00,No,00:00.00,1,0
Running,2019-10-01 00:17:29,false,West Coast,12.01,631,01:19:58,161,187,3.8,153,183,6:40,4:27,34,21,0.96,10.4,10.2,292,50.0% L / 50.0% R,--,--,0,0,0,1:19:58,0:00,27,0:00,No,00:01.80,13,0
Other,2019-09-29 20:04:26,false,Table Tennis,0,486,01:55:21,117,152,1.5,7,203,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:55:21,0:00,24,0:00,No,00:00.00,1,0
Running,2019-09-27 00:13:36,false,West Coast,8.01,433,00:53:12,163,190,3.5,152,202,6:39,4:31,19,22,0.96,10.5,10.3,300,50.1% L / 49.9% R,--,--,0,0,0,53:12,0:00,29,0:00,No,00:02.48,9,0
Running,2019-09-24 23:57:54,false,West Coast,7.01,406,00:47:02,170,185,3.6,152,159,6:43,5:03,22,17,0.95,10.1,9.8,305,49.8% L / 50.2% R,--,--,0,0,0,47:02,0:00,28,0:00,No,00:02.99,8,0
Other,2019-09-22 13:30:06,false,Table Tennis,0,796,02:03:01,142,160,2.5,8,168,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:03:01,0:00,24,0:00,No,00:00.00,1,0
Running,2019-09-17 07:04:01,false,West Coast,5.02,266,00:26:31,174,192,3.8,159,165,5:17,4:50,3,6,1.14,8.6,10,270,49.2% L / 50.8% R,--,--,0,0,0,26:31,0:00,28,0:00,No,00:04.93,6,0
Other,2019-09-15 15:03:03,false,Table Tennis,0,426,01:48:14,109,157,1.1,8,159,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:48:14,0:00,22,0:00,No,00:00.00,1,0
Other,2019-09-14 13:55:09,false,Table Tennis,0,579,02:01:18,124,154,2,8,160,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:01:18,0:00,23,0:00,No,00:00.00,1,0
